comments,labels
250 mb kivabay nibo 🙄,AV
"আমার মোবাইলটি গতকাল চুরি হয়ে যায়, সাথে গ্রামীণ সিম। সিমটি আমার বড় ভাইএর নামে। কিন্তু সিমটি যখন তুলতে যায়, ওনার ফিঙ্গার প্রিন্ট দেয়ার পরেও সিম তুলতে পারিনি। এখন কি করণীয় , কিভাবে সমস্যাটি সমাধান করা যায়???",AV
"আমি পছন্দমতো নাম্বার বানাতে চাই, তাতে কি কি করা লাগবে?",AV
"Registration fail 
Akhon koroni ki",CNI
What's your postpaid call rate?Grameenphone,AV
আমি একটা গ্রামীণ সিম স্কিটো করতে চাই সেটা কি করতে পারবো,AV
মাই জিপি থেকে অফার কিনলে আসে না!,CNI
Mohakhali te customer care kutay,AV
কীভাবে বুঝব আমার সিমটি ৪জি🤔,CNI
ভাই আমি 200 mb free পাইছি নেট চলছে না কেন?,CNI
Klke 750 nisi ai campaign ar Cole na kn🙂,CNI
সকল টাকা কাটার সার্ভিস অফ করার কোড কত?,AV
"1.Sim 4g te convert korar jonno jar nid card diye sim registration kora take ki sathe jete hobe?

2.koto taka lagbe convert korte & kothay theke korbo?

2.3g theke 4g te convert korle ki notun sim deya hoy? Naki  puraton sim tai AVocess kore deya hoy?",AV
customer operator number ta diben?,AV
01711 AVepaid sim ki GPEC ta sell hocca,AV
আগে ৫০০ এস এম এস ছিলো ১৯ টাকা এখন করছেন ৮৬ টাকা এইটা কেমনে সম্ভব আমাদের কি প্রেম ট্রেম ও করতে দিবেন না ভাই।,AV
Without notice how can GP changed the service rate 🤣 oke we r going to switch 🙄,AV
emergency balance code?,AV
#Grameenphone  Sim a message asar por message app a sei message pai na. Solution ki hobe ???,AV
+88017*****752  এই নাম্বার টা পুরোটা বের করব কীভাবে জানাবেন?,AV
Gp sms pack kivabe kinbo?,AV
"ঘরের ভিতর নেটওয়ার্ক নাই, স্ট্রিম করবো কিভাবে?",CNI
gp te msg er dam ato bariye dewar karon ki?,AV
"৫০০ এসএমএস ৯৬ টাকায় 
ভাই �
মানুষকে আর কতো দিক দিয়ে হোগা মারবেন আপনারা ��",AV
Pay as you go  অর্থাৎ ইন্টারনেট ডাটা না থাকা অবস্থায় যেন আমার সিমের টাকা না কাটা হয় ডাটা হিসেবে। অনেকবার ভুলবসত আমার সিমে ইন্টারনেট না থাকা অবস্থায় মোবাইলের ডাটা অন করে দেই। কিন্তু ইন্টারনেট না থাকায় সিমের টাকা কেটে নেয়া হয়। আমি এই সিস্টেম বন্ধ করতে চাই।,AV
মাই জিপি অ্যাপসে ফিরলে ২১ টাকা রিচার্জ করলে ২০ টাকা ক্যাশ ব্যাক এই অফারটি মাই জিপি অ্যাপস কতদিন ব্যবহার না করলে পাওয়া যাবে?,AV
মাই জিপি অ্যাপস থেকে পেমেন্ট অপশন বিকাশ প্রথমবার সেভ করে ২০২ টাকা রিচার্জ করলে ৩২ টাকা ক্যাশব্যাক অফারটি কি এখনো চলমান আছে?,AV
৫০০ মেসেজের দাম ৮৬ টাকা কেমনে হয় আমাদের মতো বেকারদের কি মারার জন্য উঠেপড়ে লেগেছেন নাকি?😡😡,AV
আপনাদের কমপ্লেন নাম্বার দিন,AV
মোবাইল ইন্টারনেটে এক দেশ এক রেট চালু হবে কবে,AV
আসসালামু আলাইকুম পোস্টপেইড সিম প্রিপেড কিভাবে করব জানতে চাই,AV
আমার একটাই দাবি WiFi চালাই বলে অফার আসা বন্ধ করে দিয়েছে কেন আনলিমিটেড অফার চাই...,AV
"মাসের হিসাবে ডাটা কেনার পদ্ধতি চালুর দাবি জানাচ্ছি। 

জেমন ধরেন আমি ১ মাসের মেয়াদের ডাটা কিনেলাম তারপরে সেই ১ মাস ইচ্ছে মত ডাটা ব্যাবহার করবো, 

এই পদ্ধতি চালুর দাবি জানাচ্ছি",AV
আমার একটি সিমে কল দিলে বলে এই সিমটি আর ব্যাবহারিত হচ্ছেনা। আর মোবাইলএও নেটওয়ার্ক আসতেছেনা।কারণ কি?,CNI
মাই জিপি রেফার এর বোনাস আসে না কেন?,AV
গ্রামিন অফিসের নম্বর কত,AV
এসএমএস প্যাকগুলো অতিরিক্ত মূল্য বৃদ্ধি করা হয়েছে,AV
পোস্টপেইডে মাইগ্রেশন করতে পারছিনা কেন?,AV
Mygp থেকে ২০২ টাকা রির্চাজে ৩২ টাকা ক্যাশ ব্যাক। কি কি শর্ত আছে????,AV
নতুন সিম কেনা যাচ্ছে না,AV
স্যার আমাকে হেল্প করো পিজ আমার সিম টা অন্য কেউ তুলে নিছে পিজ হেল্প করো নাইলে আমার সব শেষ আমার সব কিছুতে এই নাম্বার দেয়া আছে পিজ একটা হেল্প করো কেউ কি নাই রে ভাই হেল্প করার জন্য পিজ 😥😥,AV
dnd service start korar poreo AVomotional sms abaro asche.. 2bar sms diye close korleo abar astese..plz off it..,AV
01711 series sim kivabe pabo r er AVice koto,AV
ই সিমে কল রেট কত,AV
Customers care ar number den,AV
Grameenphone কল দিলে star customer star customer বকে চলে যাচ্ছে! নাম্বারে কল দেওয়ার পর কয় নাম্বার পেশ করলে কাস্টমারদের সাথে কথা বলতে পারব সেটা বলে দেন!,AV
"আপনারা MB ময়াদ চলে গেলে, MB টা কেটে না নিয়ে, পরর্বতি MB রিচার্জ করার পর আগের MB টা Addকরে দিবার System টা চালু করেন প্লিজ, দেশের সকল গ্রহক এর দাবি, প্লিজ  এভাবে MB কেটে নিবেনা অনুরোধ রইলো 
আমি আপনাদের থেকে MB কিনলাম আমার MB টা আমার এর বিনিময়ে আপনারা টাকা নিছেন,  তাহলে মিয়াদ চলে গেলে আমার  MB কেনো কেটে নিবেন,  প্লিজ  এবিষয়ে ইকটু নজর দেন,,",AV
কিন্তু নেটের দাম এত বেশি কেন? কমানোর কোনো পরিকল্পনা নাই? দীর্ঘদিনের ছোট অফার নাই?,AV
5G esim nibo amar sim replacement korbo.rangpura hoba?r koto tk lagba?,AV
বাংলাদেশের সবচাইতে একটা বড় কোম্পানি গ্রামীণফোন  কিন্তু অন্যান্য যে নেটওয়ার্ক গুলো আছে তাদের চাইতে গ্রামীণফোনের সবকিছু রেট এত বেশি কেন কয়দিন আগেও ছিল ২৯ টাকা রিচার্জ এর অফার সেটাকে করে দিয়েছে ৩৪ টাকা শুধু তাই নয় সেটা আবার ওনো সত্তর পয়সা মিনিট চাজ প্রযোজ্য হয় ইদানিং গ্রামীন ফোন ইচ্ছামতন কল রেট বসাই । ওয়ান টু ওয়ান এ ফোন দিলে অনেক সিস্টেমের মধ্যে পার হতে হয় আমরা কাস্টমার কেয়ারে ফোন দিই তাদের সাথে কথা বলার জন্য কিন্তু এটার পর এটা এটার পর শুনতে শুনতে ভুলেই যাই কত নাম্বার পেশ করব । কাস্টমার কেয়ারের সাথে কথা বলবো আমার কি প্রয়োজন এত অফার নেব শুনবো কাস্টমার কেয়ারের সাথে কথা বলার জন্য সরাসরি একটা হেল্পলাইন চালু করতে পারেনা। কিছু সময় ফোন দিয়ে তো মিনিটের পর মিনিট ওয়েট করতে হয় লাইন বিজি 🙏🙏🙏,AV
Postpaid  সিমে ফ্রী welcome tone এর অফার আছে কি?,AV
গ্রামীণ সিম ই সিম করতে চাচ্ছি। যাত্রাবাড়ী এরিয়াতে কোথায় পাওয়া যাবে,AV
"কিন্তু mb খরচ, মিনিট কেনা খরচ, ইত্যাদি সবক্ষেত্রে আরো একটু সাশ্রয়ী হওয়া দরকার",AV
৪জি সিম ১মবারের মতো নতুন ৪জি হ্যান্ডসেটে ইউজ করলে কি কোনো বোনাস আছে?,AV
১মবার আমার galaxy a14 ৪জি হ্যান্ডসেটে ৪জি সিম ইউজ করলে কি বোনাস?,AV
gp  বন্ধ সিমের অফার গুলো জানতে জানতে চাই,AV
Slitto‌ থেকে Gp  তে যাওয়া যাবে না কি,AV
500 sms 96 tk ktota joktik??,AV
"আমার সিম কিছু দিন অফ ছিলো আজ অন করে এমবি ও মিনিট  কিনছি কিন্তু চলতেছে না 
কল দিলে বলে সিম সাসপেন্ড এক্সপেয়ার",CNI
২৩ টাকায় ২ ঘন্টায় যে আনলিমিটেড Mb দেয়..  এটা কি লিমিটেড করে দেয়?  ১০ gb শেষ হওয়ার পর আর চললো না. এটা লিমিটেড দেয় নাকি?,AV
100taka dhokaice seikane dekhe 40takai kete nice othoso emargensi balens neya chilo na,AV
10 টাকার মধ্যে মেসেজ কিনবো কিভাবে প্লিজ তারাতারি রিপ্লে দেন,AV
"আমার গ্রামীন সিম বন্ধ ছিলো, এখন খুলে দেখি নেট আসে না।আমার নামে রেজিষ্ট্রেশন করা সিম",CNI
কাস্টমার কেয়ার অন্য নম্বর থেকে কথা বলা যায় এমন হট লাইন নম্বর চাই।,AV
Sms কিনা জায় কিভাবে,AV
১০৯ টাকায় কি অপার,AV
কাষ্টমার কেয়ারে যোগাযোগ করবো কিভাবে,AV
My Gp app diye recharge korlam bkash theke tk katio but balance show korchena….. er solution ko,AV
পছন্দের নতুন নাম্বারটা নেব কি ভাবে.?,AV
মাইজিপি এপসে বিজ্ঞাপন দেওয়া রোমিংসহ গত তিন মাসের বিল ডাউনলোড করতে ক্লিক করুন। অথচ ওখানে পাওয়া যায় মাত্র বিগত এক মাসের বিল। তাহলে এধরনের ভুয়া বিজ্ঞাপন দেওয়ার মানে কি??,AV
আমার গ্রামীন সিমে Sim not AVevisioned দেখাচ্ছে কেনো?,AV
কাষ্টমার কেয়ার নাম্বার কত বর্তমান ও কি ভাবে কথা বলবো জানান,AV
My gp tej  400৳ upore recharge kar le 10% casebackn ata kemne paoya jay 😕,AV
"আমার সিমে মিনিট কিনলে এম এস এম আসে না ফোন দিলে মিনিটের বদলে টাকা কাটে এবং ১,২ ঘন্টা পর  sms আসে.
সমাধান চাই",DP
"my gp রেফার করলে নাকি 500mb ফ্রি আর ডাউনলোড করে অ‍্যাপে আসলে 1gb ফ্রি।
কিন্তু  ফ্রি গলো দিচ্চেন না কেন??",AV
Refar kortecilam but mb Pai ni keno ?,AV
Amar mb ase kintu kaj korcena somosha ki,CNI
"আমি একজন গ্রামীণফোন বিক্রেতা বলছিলাম  ৫৪, ৩৪ টাকা আমাদের রিচার্জ করার সমস্যা হচ্ছে খরচা টাকা থাকছে না আপনারা ৪৯ অথবা ২৯ যেটা ছিল এটাই করেন",AV
আমার বাংলালিংক সিম গ্রামীন করতে চাচ্ছি।সহযোগিতা চাই,AV
gpgpসিম এর দাম কতো টাকা,AV
কাস্টমার কেয়ার লাইলে কিভাবে কথা বললো।,AV
কত করে সিম,AV
স্যার সিলেট জকিগঞ্জে আপনাদের কাস্টমার কেয়ার আছে নি ????,AV
হিউম্যান কাস্টমার ম্যানেজারের সাথে কথা বলার জন্য কোন নাম্বারে কল করব,AV
সিম অ্যাক্টিভেশন সার্ভার কি আজকে ডাউন?,AV
Apnader shatha contact kora jabe ki vabe koto number  a,AV
Massage rate barlo kno????,AV
আমার সিমটি ৩ জি নেটওয়ার্ক খুব সমস্যা হচ্ছে এখন এটাকে ৪ জি করতে হলে আমাকে কি করতে হবে বলবেন দয়া করে 🙏🙏🙏,CNI
মিনিটের সময় বারানো হোক,AV
বন্ধ সিম কিভাবে চেক করব,AV
GP customer care number koto,AV
মেসেজ এর দাম এত কেন আর এটা কতদিন থাকবে এত দাম,AV
আমি একজন সিলভার গ্রাহক। সিলভার গ্রাহকের সুবিধা-অসুবিধা সম্পর্কে জানতে চাই।,AV
ভাই আপনারা কি মানুষ কে মারবেন 10 টাকার এম বি কার্ড 15 টাকা  আমরা দশ টাকায় এম বি কার্ড সার্ভিস আবার চাল চাই,AV
Grameenphone e pay per use off Korey kamney,AV
1 gb vorar jonno koto tk recharge korte hobs,AV
"আনলিমিটেট মাসের এমবি কতো টাকা
যতো খুশি ততো এমবি ফুরাবো এরকম কোন প্যাকেজ আছে কি",AV
Gp  সিমে টাকা কম কাটার উপায় কি..?,AV
সিমের মালিকানা চেঞ্জ করলে কি সিমটি ৪জি হয়ে যাবে?আর মালিকানা চেঞ্জ করার ফি কত?,AV
চার মাসের কল statement লাগবে কেমনে পাবো একটু জানাবেন,AV
Amr tho ak din calai 2GB mb sash .bujlm na kibabe,AV
রংপুরে ই-সিম মাইগ্রেশন করা যাবে কি.?,AV
আমার জিপি পয়েন্ট দেখা যায় না কেন,AV
৩০৯টাকা রিচার্জে কি অফার আছে?,AV
"জিপি তে ৭১ টাকা রিচাজ করলাম রকেট থেকে,  একাউন্টে টাকা আসলো আবার ৭১ টাকা রিচাজ দিলাম বিকাশ থেকে মিনিট আসলো কারনটা জানাবেন জার এটা সম্পর্কে জানা আছে, জিপি ওরা তো উত্তর দিবেনা জানি",AV
পোস্টপেইড সিম নিব কয় টাকা খরচ হবে ডিপোজিট কত লাগবে কল  কেমন হবে,AV
SMS পেকেজ এর দাম কমানো হোক। আগে যেটা 18 টাকা দিয়ে পেকেজ কিনতে পারতাম সেটা পরে হইছে 27 টাকা আর এখন 76 টাকায় পৌছে গেছে। চার্জ না কমলে গ্রামীন সিম ব্যবহার করব না,AV
নরসিংদী অফিস কোথায় আপনাদের,AV
০১৭১১ সিরিজের  সিম কিনতে পাওয়া জাবে,AV
আমি কিছুদিন আগে গ্রামীণফোন সেন্টার থেকে একটি ফোরজি পকেট রাউটার কিনি। এখন এর পিছনে স্টিকারে দেয়া আইপি এড্রেসটিতে ঢুকা যাচ্ছে না। এখন আমি কি করে ওয়েবসাইটে লগইন করতে পারবো?,CNI
apnader customer care number ki? inbox korlam bot diye just reply kno dewa hoy?,AV
"মাই জিপি App  থেকে ২০২ টাকা মোবাইল রিচার্জ করলে কোন মিনিট ইন্টারনেট বান্ডেল ঢুকবে কিনা

নাকি টাকা মূল একাউন্টে যোগ হবে

বিস্তারিত জানতে চাই",AV
"আমি এই অফার নিলাম।দিলো ৩০ মিনিট। এইটা কেমন ফাজলামো? আমি এখন এই মিনিট নিয়ে কোথায় যাবো( কলে কথা হয় না কারো সাথে অথবা কথা বলার জন্য কেউ নাই)। 

তাইলে এখন আমাকে আমার এমবি ফেরত দেন�� সমাধান চাই",AV
"অনেক দিন ধরে আমাদের একটা গ্রামীণ সিমে রিচার্জ না করায়, এই মাসে সিমের সংযোগ কেটে দিছেন। এখন রিচার্জ করার পর কী সিমের সংযোগ আবার ফিরে পাবো? এই সমস্যার সমাধান কী?",AV
হুট করে তিন গুন দাম বাড়ানার ব্যাপারটা বুঝলাম কেনো এতো দাম বাড়ামো হলো,AV
"নতুন একটিভ করে ১ম রিচার্জ কত টাকা দিতে হয়,একটু জানালে ভালো হয়",AV
I want to know about low call rate.,AV
Kire vai 500 sms age 29 tk chilo akn 86 tk holo kamne ?? Onno sim companir to thik e ase,AV
মি‌নি‌টের মেয়াদ বৃ‌দ্ধি করব কিভা‌বে,AV
#Halp_post🙏আমার একটা সিম অনেক আগে রেজিষ্ট্রেশন করা হইছে সিমটা ফোন সহ চুরি হইছে এখন সিমটা কার নামে রেজিষ্ট্রেশন করা আমি কিভাবে সিমটা তুলবো বুজতেছিনা🙏 হেল্প করার জন্য অনুরোধ করা হলো,AV
Sms ar dam ato barti kan???  Post korte chaile aAVovd koren nah,AV
যারা কম্পিউটার ইউজার তারাও কি অ্যান্ড্রয়েড এর মত একই ডাটা প্যাক কেনে নাকি ওদের জন্য স্পেশাল কোন প্যাক আছে ওয়াইফাই টাইপের।জানালে উপকৃত হব।,AV
কাস্টমার কেয়ার এর নাম্বার কত,AV
3G 4জি করবো অনলাইনে অর্ডার করলে কী ফিগার ফিনিট লাগবে নাকি আবার,CNI
আমার সিমে নেট কানেকশন পায়না mb আছে তবুও,CNI
500sms 96 tk ato dam ka,AV
Skitto new sim offer ki,AV
এমবি বেশি কাটে,AV
Grameenphone  sim kotodin use na korle recycle  koren?,AV
আপনাদের কলরেট রিচাজ লিস্ট টা দিয়েন তো,AV
আমি একটা ভি আই পি সিম চাই  কোথায়  পাবো,AV
আমার সাথে দুকা করছে আমি ১৩টাকা এডভান্স লোন  আনছিলাম আমার থেকে ৩২ টাকা কাতছে😡,AV
কত দিন সিম ব্যবহার না করলে সে সিমের আর মালিকানা থাকে না?,AV
হেল্পলাইন নাম্বার কত,AV
Grameenphone  a sob thaka kharap sheba dessa. Data use kora e jassa na. Sob data kata neba,AV
"2900 MB আছে, মেয়াদ আছে ১২/৬/২০২৩,  কিন্তু ইউজ করতে পারছিনা। কারন কি?",AV
বাংলালিংক নাম্বার দেখে গ্রামীন ফোনের নিয়ে আসা যাওয়ার কোন সিস্টেম আছে  আর থাকলে কত টাকা খরচ হবে একটু প্লিজ বলবেন,AV
Fnf সুবিধা কি কি এবং কোন সিস্টেমে fnf  করতে হয়,AV
sim replace  korar kaj ki start hoisa?,AV
"আমার সিম হারিয়ে গেছে,  আমি সিমটা কিভাবে  তুলতে পারি এবং খরচ কতো?",AV
০১৩১ সিম রিপ্লেসমেন্ট করতে কত টাকা লাগবে,AV
আমি বর্তমানে ৫০ জিবি ১৬০০ মিনিট প্যাকেজটি ব্যবহার করছি।বর্তমান প্যাকেজের মেয়াদ শেষের দিকে হলেও বেশ কিছু ডাটা অবশিষ্ট আছে । আমি জানতে চাই কোন কোন প্যাকেজ কিনলে বর্তমান প্যাকেজের অবশিষ্ট মিনিট এবং ডাটার মেয়াদ বাড়বে??,AV
আমার পোস্ট পেইড সিমকার্ড টি প্রি পেইড সিমকার্ড করতে চাই.. কোন সমাধান আছে কী?,AV
call history check korbo kivabe pc diye?,AV
"Ami ki AVepaid sim postpaid convert korte parbo bidesh thakei?
Current location: Philippine",AV
Gp 3G সিম 4G করার জন্য চার্জ কত?,CNI
❤️ আপনাদের কাছে কি কোন আনলিমিটেড ওয়াইফাই সিম আছে। যেগুলো রাউটারের মধ্যে ঢুকিয়ে ব্যবহার করা যায়। যেমন মধ্যপ্রাচ্যে বিভিন্ন সিম কোম্পানিগুলো এভাবে ওয়াইফাই দেয়। 🏵️,AV
কাস্টমার কেয়ারে কথা বলার নাম্বার কোনটা?,AV
Sim replacement charge koto?,AV
আমার নিজ না‌মে রে‌জিষ্ট্রাডকৃত ০১৭১১ সি‌রি‌জের এক‌টি সিম অন‌্য কাউ‌কে রে‌জিষ্টাড ক‌রে দেই। কিছু দিন পর তি‌নি ওই নাম্বারটা ব‌্যবহার বন্ধ ক‌রে দেয়। বর্তমা‌নে নাম্বার‌টি ৩ বছর ধ‌রে বন্ধ আ‌ছে। ওই নাম্বার‌টি কি আ‌মি পুণরায় নি‌তে পার‌বো? য‌দি কি‌নেও নি‌তে পার‌বো কিনা!,AV
Notun sim bikri suru hoice?,AV
"জিপি সিম এ রিচার্জ দিলাম,সেই টাকা কোথায় গেল,নেই কোন এস এম এস,মাঝরাস্তায় কি টাকা ডাকাতি হইলো নাকি😥😥😥",AV
গ্রামীণ সিমে 19 টাকা আছে এখন কিভাবে 450 MB আমি কিনতে চাই,AV
Amar 01776020901 ai number ta kal phone theke khular por are kono phone ai active hochce na  plz hlp,AV
200 md TK oi code ta dan,AV
"গ্রামীণফোনের দৃষ্টি আকর্ষণ করছি আমি গ্রামীণফোন থেকে  নতুন কোন হ্যান্ডসেট না কিনে আমি কি 01711 সিরিজের সিম ক্রয় করতে পারব।
আপনারা এখানে সিমের ধান সিমের দাম 3000 টাকা রেখেছেন আমি যদি আপনার চান 500 টাকা বেশি দিতে রাজি আছি
আমার শুধু একটা ০১৭১১১ সিম লাগবে",AV
499tk carda Ke ofer asa 2023 a,AV
গ্রামীনে ফেসবুক প্যাক কিভাবে কিনে,AV
Taka katar all service kivabe off korbo?,AV
বন্ধ সিমের অফার কি কি আছে.......??? বর্তমানে আমার সিম টি বন্ধ সিমের অন্তর্ভুক্ত আছে কি না কিভাবে বুঝবো......???,AV
Gp data offer cake code plz,AV
Sms প্যাক কিনবো কিভাবে ১০ টাকার অথবা ২০ টাকা দিয়ে,AV
monthly mb ki offer ki ace,AV
Amar number a wellcome tune chalu ase bondho korbo kamne,AV
ধ্যাত আপনাদের সিমে internet on হয়না কেন?,CNI
Gp te unlimited Internet pack ace????,AV
ভাই মেসেজ কিনার কোড দেন,AV
গ্রামীনফোন এপে ২৩ টাকা এবং ৩৩ টাকার ঘন্টা ভিত্তিক  আনলিমিটেড অফারটায় কোনটায় সর্বোচ্চ কত এমবি ব্যবহার করা যাবে বিস্তারিত বলেন।,AV
"স্যার আমার এখানে ৭০ টাকা রিচার্জ করলে ৩৫ টাকা ক্যাশব্যাংক আফার আসছে,, আমি এই নেওয়ার ৩৫ আসতেছে না কেন",AV
"আমার অনেক দিন জিপি সিম বন্ধ ছিল এখন চালু করছি, চালু করার পর মাইজিপি লগইন করার দেখতে পেলাম 21টাকা রিচার্জ 20 টাকা  ক্যাশব্যাক ক
এই অফার টা কয়বার নেওয়া যাবে?",AV
বন্ধ সিমের অফার কি?,AV
MNP POSTPAID OFFER JANAN,AV
আমি আশা করে একটি skitto ক্রয় করেছি মিনিট এমবির অফারের জন্য ক্রয় করার সময় দোকানদার বলেছে ১৭ টাকায় ২.৫ জিবি যতবার ইচ্ছা ততবার অফার টি নেওয়া যাবে কিন্তু ১৭ টাকা রিচাজে অফার টি আসে নি,AV
"How can I claim e sim in Friday?
Which customer care center open in Friday in Dhaka",AV
Cost of migration physical sim to e sim,AV
Are you open Friday in uttara for esim migration,AV
My gp kaaj korchena keno?,AV
আমাকে 200 টাকা লোন দিয়েছে এ টাকা দিয়ে এম বি কিনেছি এক এম বি চলেনি । এখন টাকা রিচার্জ করলে টাকা কাটবে,AV
আমার কিনা মিনিটের মেয়াদ শেষ কিন্তু মিনিট এই মিনিট কোথাই গেলো এবং আমার এমবির মেয়াদ শেষ কিন্তু এমবি কোথাই গেলো আমরা জানতে চায়,AV
Sms কেনার কোড,AV
গ্রামীণফোন কাস্টমার কেয়ারে কথা বলবো কোন  নাম্বারে !,AV
"৩০০ টাকায় ৩০ জিবি বা ৫০ জিবি অফার থাকলে দেন প্লিজ কিন্তুু মেয়াদ টা যেন ৩০ দিন হয়

থাকলে দেন",AV
বন্ধ সিমের কি অফার আছে?,AV
Akta numbr a nagod teke vul Kore taka chola gaca kinto sai sim off oi sim Kon jaygay sata ki Jana jaba,AV
"উত্তর পেতে অনেক অপেক্ষা করতে হয়।
অত্যন্ত বিরক্তিকর ব্যাপার😴",AV
আমার একটা এয়ারটেল নাম্বার আছে সেটা গ্রামীণফোনে মাইগ্রেশন করতে চাই কত টাকা খরচ হবে?,AV
Amar jokhon Nid chilo na tokhon amar ammur nid & fingerAVint diye gp sim niyechilam...but ekhon amar nid card ache...ekhon ei sim ti ami nijer korte chai...Eta ki sombov? Naki notun kore amar nid diye new sim khulbo?,AV
গ্রামিণ এ ২৯ টাকা রিচার্জে কোনো মিনিট বা এমবি অফার আছে কি,AV
1 month ar package gulo koto tk internet jonno,AV
সিমে ইন্টারনেট আছে কিন্তু কোনো কিছু চালাতে পারতাছি না।।।কি করতে হবে?,DP
"এমবি ভরছি ১১৮ টাকার ১২ জিবি। 
ম্যাসেজ আসছে আপনার অফারটি সফল ভাবে চালু হয়েছে।
এমবি সো করে কিন্তু  চলে না।
এমতাবস্থায়  আমি কি করতে পারি?",DP
ভাই আমি gp app থেকে ২১-০৬-২৩ তারিখে ১২৫ টাকা রিচার্জ করি কিন্তু বিকাশ থেকে ঠিকি টাকা কেটে নিছে কিন্তু ব্যালেন্সে টাকা আসেনি কারণ কি বলেন???,AV
"আমার একটা পোষ্টপেইড নাম্বার ফ্রিপেইড চালু হওয়ার পর বন্ধ হয়ে যায় । নাম্বারটা চালু করতে হলে, কি করতে হবে  ? নাম্বারটা ১৯৯৯ সাল থেকে ফেনী'তে ব্যবহার করতাম । প্রথম দিকে এন্টেনার সাহায্যে কথা বলতে হতো । নাম্বার ছিল  : ০১৭১ ৭২০৫২০",CNI
230.00 টাকা রিচার্জ সফল হয়েছে। আপনার ব্যবহৃত ইমার্জেন্সি ব্যালেন্স 72.25 টাকা এই রিচার্জ থেকে সমন্বয় করা হয়েছে এবং 157.75 টাকা অ্যাকাউন্ট ব্যালেন্স এ যোগ হয়েছে। বর্তমান অ্যাকাউন্ট ব্যালেন্স 138.75 টাকা।কিভাবে যে ডাকাতি করতেছে নিজের চোখে দেখুন।,AV
আপনাদের sms প্যাক গুলা কিভাবে কিনব,AV
আমার হারিয়ে যাওয়া সিম যদি অন্য কেউ চালায় সেই সিম নষ্ট কীভাবে করা যাবে বা ফেরত কীভাবে পেতে পারি,AV
Ami je sim ti calai uni mara gese akhon ami ki sim ti amr nam a korte parbo,AV
Gp app থেকে বাংলালিংক সিমে টাকা ট্রান্সফার করতে হয় কিভাবে?,AV
বড় প্যাকেজ মেয়াদ শেষ। ছোট প্যাকেজ কিনে মেয়াদ বাড়ানো যায়না।,AV
