comments,labels
কতবার কেনা যাবে এই বন্ধ সিমের প্যাকগুলো?,PR
নেট ঠিক করেন,CNI
কাস্টমার কেয়ার থেকে চয়েস নাম্বার কিনতে চাই??,DP
এই অফারটা কি টেলিটক ব্যবহারকারী সকলেই নিতে পারবে,DP
Teletalk তাহলে তো বুঝা যায় টেলিটক সিম বন্ধ রাখলে সবচেয়ে বেশি সুবিধা,PR
আমার সিম আছে রানিং কিন্তু ২ জি এখন কি করা যেতে পারে...বা রিফ্রলেস করলে কত টাকা লাগবে...,NS
Bal sim net e paina,CNI
এয়ারটেল ৩জি সিম ৪জি করতে কত টাকা লাগবে?,NS
আহা কি অফার???,DP
Ei offer gula.,DP
Teletalk er. Je kn sim ea hbe? ..,PR
অফার টা এখন ও আছে....??,DP
Apnader network valo na,CNI
ভাইয়া নেটওয়ার্ক আপডেট করেন আপনাদের,CNI
এলাকায়তো নেটওয়ার্কই পায়না,CNI
1gb/3gb ki sobai pabe,NS
"আমার সিমটা সচল হচ্ছে না,রিসার্চ করেও সচল করতে পারচ্ছি না,,কি করা যায়?",PR
Amar Sim e 30 min ache meyad 13 jun porjonto tobuo balance theke TK katche keno r min thekei zacche ? Eitar solution ki apnader kache ache? Plzz kindly janaben,PR
2g internet dea ki hoba,CNI
নেটওয়ার্ক থাকে না আর অফার,CNI
"তাহলে যারা এতদিন টেলিটকের সিম চালু রেখেছে, তারা কি অন্যায় করেছে!?",PR
"একটা করেই বিপদে পরছি, ঘরের ভিতর কল আসেও না যায়ও না",PR
৪জি চালু হইছে???,NS
আপনাদের জিবি দিয়ে কি হবে যদি নেট ব্যাবহারই করতে না পারি।,CNI
নেটওয়ার্ক না পাওয়ার কারনে আমার টেলিটক বর্ণমালা সিমটি ২ বছর ধরে বন্ধ আছে। সিমটি চালু করতে হলে কি করতে হবে?,CNI
বালের সিম নেটওয়ার্ক থাকে না,CNI
ঢাকায় টেলিটক এর কাস্টমার কেয়ার কোথায় কোথায় আছে।সিমটি দ্রুতই সংগ্রহ করতে চাচ্ছি। লোকেশন টা জানান,DP
টেলিটকে প্রতি মিনিট সকল খরচ সহ কত কাটে?,PR
টেলিটকে কোন পেকেজ এ সুবিধা বেশি,PR
Network paina all time 2g any suggestions?,CNI
নেটওয়ার্ক পায়না বলে বন্ধ করে রেখেছি,CNI
অন করলে কি নেটওয়ার্ক পাওয়া যাবে..???,CNI
আগের নেটের সমস্যা সমাধান করুন।,CNI
সিম রিপ্লেস করা যায় কোথায়?,CCI
আমার এলাকায় তো নেটওয়ার্ক থাকে না। তাহলে,CNI
Should update network to be the number 1 internet service provider,CNI
নতুন সিম অফার,DP
"নেটওয়ার্ক এর খবর নাই,অফার কি পাছায় দিবো",CNI
"Network এর speed-ই নাই, offer দিয়ে কী করবো?",CNI
"নেটওয়ার্ক ঠিক করেন।বিদ্যুৎ চলে গেলে নেটওয়ার্ক থাকে না, পাকুটিয়া, ঘাটাইল, টাংগাইল",CNI
শতবর্ষ পেকেজ কিভাবে বর্নমালা করবো,PR
দেশের সব জাগায় ৩ জি নাই কেন,NS
বাংলাদেশের মধ্যে বর্তমানে সেরা সিম,PR
এলাকায় নেট পাই না,CNI
ফেনী সদর Network থাকে তো আগে সেটা বলুন ?,CNI
আপনাদের নেট বিদ্যুতের সাথে সম্পর্কিত বিদ্যুৎ থাকলে নেট আছে নয়তো নাই। অনেক সময় বিদ্যুৎ থাকলেও থাকেনা। ভাল সার্ভিস দেন জনগন ব্যবহার করবে।,CNI
ai offer gula customar koto bar nite parbe?,DP
কতদিন সিম বন্ধ থাকা লাগবে,PR
চলমান সিমে কোনো অফার নেই?,DP
"-স্পেশাল ইন্টারনেট অফারটি প্রতি ১৫ দিনে একবার, মাসে সর্… See more",CNI
Bujlam too net koi,CNI
"আমরা গোপালপুর পৌরসভার (লালপুর ,নাটোর)বাসিন্দা। দীর্ঘ ৭-৮ মাস যাবত টেলিটকের নেটওয়ার্ক না থাকায় ,পৌরবাসী দেশীয় মোবাইল নেটওয়ার্কিং থেকে বঞ্চিত হচ্ছে। বিষয়টি রাজশাহী ও নাটোর টেলিটকের কাস্টমার কেয়ারকে বারংবার অবহিত করা হলেও ,তারা প্রয়োজনীয় ব্যবস্থা গ্রহণ করেননি।",CNI
#নেটওয়ার্ক সার্ভিস খুবই বাজে অবস্থা রাজধানীর দক্ষিনসিটি এলাকায় নেট চলেই না একদম।,CNI
Sagotom package sim koto kore ????,DP
"আমি খাম্বাই পাই না, নেট চালাই ক্যামনে?",CNI
Network 3g পাইনা,CNI
শুধু মাএ বন্ধ সিমের ক্ষেত্রে প্রযোজ্য,PR
আগে আপনাদের নেটওয়ার্ক ঠিক করুন,CNI
আমি শেরপুর থেকে কিভাবে বর্ণমালা সিম পেতে পারি বিস্তারিত জানতে চাই?,PR
Net ase na,CNI
ভাই আগে নেটওয়ার্ক ঠিক করেন তারপর অফার দিয়েন।,CNI
"ঠিকমতো 2G ও পায় না, আইছেন আবার অফার নিয়ে।",DP
নেটওয়ার্ক পাই না চালাবো কেমনে,CNI
আমার একটা সিম আছে কিন্তু ব্যবহার করতে পারছি না নেটওয়ার্ক সমস্যা,CNI
আমি কিছু আগে চালু করছিলাম বন্ধ সিমের অফার দেখে কিন্তু সেই সময় আপনার এই অফার সাময়িক সময়ের জন্য বন্ধ ছিলো আমি কি এখন এই অফার টিনপেতে পারি,DP
আমার সিমে তো ৯ টাকা অফার টা আছে না,DP
এগুলো কি নিয়মিত অফার নাকি শুধু একবারের জন্য,DP
এই অফার গুলো কত বার নিতে পারব।,DP
কয়েকদিন বন্ধ রাখার পর এখন আর লাইনই পায় না।,PR
Network nai aidik,CNI
পাওয়ার চলে গেলে নেটওয়ার্ক চলে যায় কেনো আপনার কাছে জানতে চাই,CNI
"শর্তবার্ষে,কী এই অফার আছে??",DP
আর চালু থাকা সিমে হবে কী??,PR
কতোদিন সীম বন্ধ থাকলে বন্ধ সীম এর আওতাভুক্ত হবে?,PR
একটা সীম ৪ মাস বন্ধ ছিলো কিন্তু অফার দেয় নাই।,DP
Eto offer diya ki hobe use korar jonno to network thaka lagbe naki..,CNI
খোলা থাকা সিম গুলোকে আগে সার্ভিস ভালো দেন। আবার আসছে বন্ধ থাকা। যেগুলো খোলা সেটাই ঠিক মত নেট থাকে না।,CNI
network ta valo na apnader,CNI
Teletalk amader edike net payna,CNI
আমাদের এদিকে টেলিটক এর টাওয়ার ও নেই,CNI
"আমার এরিয়ায় টেলিটকের নেটওয়ার্ক এর অবস্থা খুবই খারাপ, টুজি নেটওয়ার্কটা ঠিকমতো পাওয়া যায়না।",CNI
নেটওয়ার্কের সমস্যা তাই বন্ধ করে রাখছি।,CNI
বন্ধ সিম ছাড়া সচল সিমে হবে না এই অফার।,DP
নেটওয়ার্ক তো নাই,CNI
সিম যেমন সিমের কোম্পানি তেমন *,PR
একটা সিম কতো দিন অফ থাকলে সেটা বন্ধ থাকা সিম হিসাবে গণ্য হবে?,PR
চিটাগং এর কোথায় আপনাদের care office?,DP
আগে নেটওয়ার্ক সঠিকভাবে দেন,CNI
নেটওয়ার্ক সমস্যা বেশি,CNI
টেলিটক ৩জি সিম ৪জি তে রিপ্লেস করতে কত টাকা লাগবে?,NS
https://www.teletalk.com.bd/en/customer-care-cente… See more,DP
এইজন্য আমাদের এলাকায় প্রায় ছয় মাস থেকে নেটওয়ার্ক নাই,CNI
5din hoy calu korco mb aiboni plz,PR
Room e ekdom network pai na. Location Agargaon bnp bazar panir tank,CNI
"গুল্টা বাজার,,তাড়াশ,,সিরাজগঞ্জের টেলিটকের কোনো নেটওয়ার্ক পায় না?",CNI
Apnader network Valo na,CNI
নেটওয়ার্ক সমস্যা ঠিক করেন।,CNI
Network vlo na. Offer vlo,CNI
নতুন সিম ক্রয় করলে এই অফার গুলো কি প্রযোজ্য হবে?,DP
টেলিটক নতুন সিমের অফিসিয়াল প্রাইজ কতো? আর নতুন সিমের সাথে ফ্রি থাকছে কয় জিবি ডাটা?,DP
নেট ওর্য়াক অনেক দুর্বল,CNI
সিমে নেটওয়ার্ক থাকেনা,CNI
এটা কি শুধু বন্ধ সিমের অফার,DP
যে চুলের নেটওয়ার্ক কভারেজ আর স্পিড তাতে করে টেলিটক সব সিমই বন্ধ করে রাখা উচিত.......,CNI
"আমার টেলিটক একটা সিম দুই থেকে তিন মাস ব্যবহার করি নাই, তার পর আমার সিম টা মোবাইলে লাগিয়ে দেখি সিম আসতেছে না এটা কি জন্য।",PR
সিম কত দিন বন্ধ থাকলে বন্ধ সিমের তালিকাভুক্ত হয়?,PR
Teletalk er offer gula sotti osadharon..Amader ekhane sob theke valo Network Teletalk sim e,CNI
মিনিট অফার নেই,DP
কত দিন বন্ধ থাকলে বন্ধ সিমের অফার পাওয়া যায়?,DP
ফালতু সিমের ফালতু নেটওয়ার্ক,CNI
টেলিটক সিম পাওয়া যায় না,PR
"আমার একটা টেলিটক সিম দীর্ঘদিন ধরে বন্ধ হয়ে আছে, কিন্তু এখন আমি কোনো ভাবেই সিম টা সচল করতে পারছি না",PR
টেলিটক নেটওয়ার্ক এর মান এখন অবধি ভালো হচ্ছেনা কেন?,CNI
"আমার তিনটা সিম আছে, বর্ণমালা, স্বাগতম কিন্ত কোনো এমবি ব্যবহার করি না, কারণ",PR
নেটওয়ার্ক পায় না,CNI
টেলিটকের নেটওয়ার্কের যে বাহার........,CNI
চালু করে কি করবো? সীমের নেটওয়ার্ক ইতো থাকে না!!,CNI
সারা বাংলাদেশে আগে আপনাদের নেটওয়ার্ক ঠিক করুন তারপরে এড দিন আমার মনে হয় ভালো হবে কারণ আমরা যারা বাংলাদেশের সবাই টেলিটক সিম ব্যবহার করতে আগ্রহী কিন্তু নেটওয়ার্কের সমস্যার কারণে টেলিটক সিম ব্যবহার করতে পারি না এবং কথা বলতে পারছি না।,CNI
"নেটই তো পাই না, অফার দিয়ে কি করব",CNI
Taka cara offer dile valo hotoDalim Kumar Roy,DP
আমরা যারা এতো নেটওয়ার্ক সমস্যার মধ্যেও সিম সচল রেখেছি তাদের জন্য কি অফার?,CNI
"নাহ, এবার সিমটা বন্ধই রাখতে হবে।",PR
কতো দিন সিম অফ থাকলে তা বন্ধ সিমের আওতায় আসে?,PR
টেলিটক এপ ফ্রিতে ব্যবহার করতে পারবো কবে থেকে,AV
R o darun offer thakte hobe,DP
সিম হারিয়ে গেছে উঠানো জন্য চাজ ফ্রি,PR
বেশ ভালো একটা অফার।,DP
নেটওয়ার্ক ই তো থাকে না,CNI
আমার একটি সিম হারিয়ে গেছে,PR
"বর্ণমালা অফারটা কি পরিবর্তন করা হয়েছে,,,???",DP
এই সিম কই পাওয়া যাবে ভাই আমি নতুন কিন্তে চাই,PR
নেট এত স্লো ক্যা,CNI
মৌলভীবাজারের বড়লেখা থানা থেকে বলছি এখানে আপনাদের অফিস বা' প্রতিনিধি ঠিকানা কোথায়,DP
Rangpur a customer cure Ta koi?,DP
"ইলেক্ট্রিসিটি চলে যাবার সাথে সাথে নেটওয়ার্ক চলে যায়, এইটা কেমনে হয় আগে জানতে চাই",CNI
কতদিন বন্ধ থাকলে এই অফার পাওয়া যাবে আর কোন প্যাকেজে পাওয়া যাবে?,DP
গতকাল চালু করার কারণে আমার নাম্বারটি এই সুবিধার আওতাভুক্ত নয়। একেমন সিদ্ধান্ত।,AV
নেটওর্য়াক পাই না তো,CNI
সচল রাখলেও তো বন্ধ থাকে নেটওয়ার্কের জন্য,CNI
"আইয়া বা*ল ফালাইতাম নি, কারেন্ট যাওয়ার সাথে সাথে নেট যায় গিয়া, বাজার অ গেলে নেট যায় গিয়া।",CNI
সিম রিপ্লেসমেন্ট করলে এই অফার পাওয়া যাবে?,DP
বর্ণমালা সিম কি রেজিস্ট্রেশন বন্ধ,PR
Apnader sim er network a apnader tellypay app e cholena,CNI
"Worst network, I have ever seen",CNI
খুব ভালো অপারেটর বিদ্যুৎ চলে গেলে আর নেটওয়ার্ক থাকেনা।,CNI
নেটওয়ার্ক প্রকট দুর্বল!!! ইন্টারনেট ব্যবহার তো দুরের কথা!!!,CNI
Picture er moton Jodi Apnader Sim Card er Calor same hoile valo hoto,PR
কয় মাস বন্ধ থাকতে হবে,PR
"সিমের দাম টা একটু কমান,",PR
আর দয়া করে পার্বত্য অঞ্চলে নেটওয়ার্ক টা একটু শক্তিশালি করুন।,CNI
আপনাদের কাছে V I P নাম্বার আছে না কি?,AV
Teletalk কত মাস সিম বন্ধ রাখতে হয়।,PR
বন্ধ সিমের নাম্বার টা লিখে ১১২ তে পাঠালে কোনো রিপ্লাই আসে না।কত দিন বন্ধ থাকলে এ অফার পাওয়া যাবে?,DP
Network Valo na tai bondho kore rakhchi.....,CNI
"আমি একটি সিম কিনছিলাম, কিন্তু এখন ওঠা লাইন পাচ্ছে না",PR
টেলিটক এ কি ডায়েল করে নম্বর দেখা যায়?,AV
আপনাদের কাস্টমার কেয়ারের সার্ভিস ভালো না,IS
Sei offer,DP
"যে আপনাদের নেটের অবস্থা তাতে বন্ধ সিম চালু তো দুরের কথা,পারলে চালু সিমটা না বন্ধ করি,ফালতু আপনাদের সার্ভিস।",CNI
কতো দিন বন্ধ থাকলে সিম রিসাইকেল হয়ে যায়?,PR
গ্রামে আপনাদের সিম-ই তো ওপেন হয়না। ইন্টারনেট চালাবো কি দিয়ে??,CNI
কতদিন সিম বন্ধ থাকলে এই অফার পাওয়া যাবে?,DP
নেটওয়ার্ক সমস্যার কারণে ৬ বছর ব্যাবহার করা প্রাইমারি সিম খুলে রাখলাম,CNI
Teletalk কল করে অভিযোগ করার পর ও কোন সমাধান নাই। আর এখানে জানালে এখানেই পড়ে থাকবে,PR
কারেন্ট না-থাকলে টাওয়ার নাই,CNI
এতো বাজে নেটওয়ার্ক সমস্যা নিয়ে এই ডাটা কি করে চালাবো,CNI
At Nabinagar in Brahmanbaria district there is no 3g network only 2g network available till now,CNI
সব ঠিক আছে কিন্তু আমার বাড়িতে নেটওয়ার্ক পায় না,CNI
আমারটা বন্ধ সিম,PR
17 tk 2 gb recharge kore pelam na keno?,PR
আমি গত কাল রিচাজ করার পর ও খুল না কেন আমার সিতা বন্ধ সিলো কিকরলে সিম টাখুলবে যে,PR
"নেটওয়ার্ক নাই কোন জায়গায়, দেশের সিমের কোন উন্নয়ন নাই",CNI
আপনার সিমের তো বাংলাদেশের কোন জায়গা নেটওয়ার্ক নাই। এগুলো দিয়ে কি করবো,CNI
সিমটা বন্ধ থাকায় ভালো কারণ অল্প টাকায় GB পাওয়া গেলেও নেটওয়ার্ক খুব খারাপ বলে অযথা সময় নষ্ট করার কোনো দরকার নাই।,CNI
New sim ar price koto,PR
দুর্বল নেটওয়ার্ক শক্ত করুন। না হলে যারা অন আছে তারাও বন্ধ করে দিবে...,CNI
যে সিমের নেটওয়ার্ক নাই সেই সিমে এরকম অফার ঘোষণা করা সত্যিই হাস্যকর,CNI
নেটওয়ার্ক কালেকশন দূর্বল,CNI
সব ঠিক আছে কিন্তু এলাকায় নেটওয়ার্ক নেই।,CNI
Amar Ekti sim uthano lagbe,PR
কত দিন বন্ধ থাকলে অফার পাওয়া যাবে?,DP
আগে নেটওয়ার্ক ঠিক করেন। স্টিভ জব্বারকে ডাক ও টেলিযোগাযোগ মন্ত্রী থেকে বিতাড়িত করুন।,CNI
অফারগুলো কোনটা কতবার নেয়া যাবে??,DP
New offer,DP
নেটওয়ার্ক খুবই দুঃখ জনক ভাবে খারাপ। নেট চালানোর কথা তো ভাবাই যায় না।,CNI
"আজকের অফার ঠিক আছে,",DP
"কামার পাড়া, আশুলিয়া, জিরাবো, জামগড়া, বাইপাইল রুটে নেটওয়ার্ক খুব খারাপ।",CNI
"বস, এর নেটওয়ার্কই তো নেই। কি করে এর সেবা গ্রহন করবো",CNI
"কিন্তু দুঃখের বিষয় হলো আমাদের এলাকায় কোন নেট পায়না,, টেলিটক সিমে।",CNI
কমপক্ষে কতদিন বন্ধ থাকা লাগবে এই অফারের জন্য?,DP
A offer ar Kono ak ta asa nh,DP
আমি গত ৬ মাস থেকে এই টেলিটক সিম ব্যবহার করতেছি বাট আমি কোন অফার পাইতেছি না আগে যা ছিলো এখনো সেই অফার গুলো আমাকে নিতে হচ্ছে দয়া করে আমাকে সাহায্য করেন,DP
"সব ঠিক আছে আমাদের এলাকায়,, শুধু বিদ্যুৎ গেলে নেট থাকেনা। আলাদা পাওয়ার সাপ্লাই করলে সব ঠিক।",CNI
3rd class network.,CNI
মাদারীপুর এখনো 3g 4g চালু হয়নি কেনো তা কি যানতে পারি???,NS
"ধুর মিয়া, আপনাদের নেট ঠিক মতো পাওয়া যায় না আর এমবি দিয়া কি করবো",CNI
Ai offer gola ki sob smy neoa jabe,DP
নেটওয়ার্ক নাই।,CNI
যেখানে নেটওয়ার্কই থাকেনা সেখানে এইসব প্যাকেজ কেন বিলাসিতা,CNI
নেটওয়ার্ক ভালোমতো পায় না। নেটওয়ার্ক সিস্টেম আপগ্রেড করেন। অনেক সময় কথাও ঠিকমতো বুঝা যায় না। সারা বাংলাদেশেই নেটওয়ার্ক গ্রামীণফোনের মতো শক্তিশালী করেন।,CNI
চট্রগ্রামের হালিশহরে আপনাদের নেটের অবস্থা খুবই বাজে।,CNI
নেটওয়ার্ক সমস্যা সিমে তাই টয়লেটে ফেলে দিছি,CNI
Teletalk office কোথায় নারায়ণগঞ্জে আমার সিম টি কাজ করছে না,PR
Network e to ni,CNI
"Khulna, phultala te teletalk e Kono somoy 4g pay nah r current off hle network I thake nah",CNI
আপনাদের থেকে এমবি কিনে কোন লাভ নেই।,PR
আপনাদের মত ফালতু নেটওয়ার্ক আর কারো নেই।,CNI
টেলিটকের অটোমেটিক নেটওয়ার্ক সেটিং কোন অপশন নাই?,CNI
"দেই না তো নেট , ভূয়া পোষ্ট",CNI
এই মুহূর্তে 3g চালাতে যাবে কে......???,NS
"নেটওয়ার্ক দুর্বল, নেট চলে গরুর গাড়ির মতো,সিম আছে কিন্তু চালানো হয়না।",CNI
"Sar,, Teletalk sim to net pai na,,, kub net poblem,, Kushtia, kumarkhali, shodoki uttorpara, 01581-834247 plz bisoyta dekhben plz",CNI
"আমাদের এলাকায় টেলিটক কোন নেটওয়ার্ক পাইনা ও নেটওয়ার্ক সমস্যা,নেট চলে না",CNI
amar 3G sim..akn..4G kora jaiv ni,NS
https://www.teletalk.com.bd/en/customer-ca… See more,DP
বাজে নেটওয়ার্ক,CNI
যেখানে নেটওয়ার্ক নাই। সেখানে সিন বন্ধ থাকায় স্বাভাবিক।,CNI
মাগার নেটওয়ার্কের সমস্যা।,CNI
Chalu thaka sim e offer den,DP
"-স্পেশাল ইন্টারনেট অফারটি প্রতি ১৫ দিনে একবার, মাসে সর্বোচ্চ দুইবার নে… See more",CNI
২০১১ তে SSC তে A+ পাওয়ায় আপনাদের দেওয়া আগামী সিম টা এখন পাওয়া যাচ্ছে না। এখন সিম টা তোলার উপায় কি?,PR
নেটওয়ার্ক নাই ২ জি পর্যন্ত পায়না। ডাটা নিয়ে কি করবো?,CNI
Bhola chorfasion a net paoya jay na,CNI
পিরোজপুরে নেটওয়ার্ক ব্যবস্থা ভালো‌ করুন।,CNI
আপনার শুধুমাত্র একটা নামে সিম কম্পানি,PR
"আগে নেটওয়ার্ক ঠিক করেন তারপর অফার দিবেন, তারপর কথা বইলেন",CNI
"রাজধানীর কেন্দ্রবিন্দুতে থেকেও ইন্টারনেটের খুবই বাজে সার্ভিস পাই, আর গ্রামে গেলেতো কেউ আমাকে খুঁজেই পায় না, out of reach, সরকারী সিমের ব্যবস্থাপনা সবচেয়ে ভালো হওয়ার কথা, কিন্তু সবচেয়ে বাজে",CNI
"grahoke somossa somadaner cesta na koray sim babohare nirussahito korcen apnara seti ki bujte parcen, naki bujei amonti korcen?",PR
নেটওয়ার্কের সমস্যার জন্য টেলিটক সিম চালানোই বাদ দিয়া দিছি।,CNI
সুপার ফাস্ট নেটওয়ার্ক,CNI
নেটের স্পীড এতোটাই স্লো যে ফেসবুকে ঢুকাই যায় না,CNI
ফোরজি বন্ধের আবেদন,PR
"আমার এলাকায় ফোরজি নেটওয়ার্ক বন্ধ করবেন প্লীজ,যতক্ষণ ফোরজি চলে আসে কোনোকিছু ব্রাউজ হয়না, থ্রিজি আসলে তখন সব ঠিকঠাক,ফোরজি অফ করে দিলে ভালো হয়",CNI
আমার টেলিটক সিমটি গত ১৪ জুন তারিখে মোবাইল থেকে খুলে রেখেছিলাম। আজকে ২০ জুন সিমটি মোবাইলে লাগানোর পর সিম কার্ড চালু হচ্ছে না। ৫০ টাকা রিচার্জ করলাম কিন্তু তারপরও একই সমস্যা। এটা কেন হলো?,PR
বিদ্যুৎ চলে গলে আপনাদের নেটওয়ার্ক ও চলে যায় কেন...???,CNI
01513 diye number pawa jabe,PR
অফার দেখে সিম কিনছি কিন্তু আমাদের এলাকায় ৩জি ৪ জি পায় না,DP
17 tk 2gb offer er code ta diye mb asteche nh kno ?,DP
17 tkr 2 gb offer ta nai kn,DP
Ai offer a mb ase nah,DP
দিনাবন্ধু রাজবংশী,PR
নেটওয়ার্ক প্রবলেম,CNI
ওফার লাগবে না নেটওয়ার্ক ঠিক করেন,CNI
আপনাদের সিম কিনতে চাইলে ও কিন্তে পারি না,PR
Kotha e bola jayna.abar naki internet. Haha,CNI
সুধু কষ্ট করে কল যাওয়া আসা করে। কিন্তু মানুষের বকা খাইতে হয় কি বা.....র সিম ব্যাবহার করিস তোর ফোন বন্ধো দেখায় আর এমবি,PR
কলের সময় নেটওয়ার্ক নাই নেট তো দিবাস্বপ্ন,CNI
আমি কেন 4G উপভোগ করতে পরছি না???,NS
ঘরের ভিতর ৪জি পায় না কিছু করেন,NS
যেখানে কথাবলার জন্যই নেট পাই না সেখানে আবার ইন্টারনেট !,CNI
নেটওয়ার্কের অবস্থা ভয়াবহ খারাপ আগের নেটওয়ার্ক ঠিক করেন ঘরের ভিতরে নেট পাওয়া যায় না বিশেষ করে গ্রাম গঞ্জের টিনের ঘরের মধ্যে এটা দ্রুত সমাধান করেন তাহলে সবই ঠিক,CNI
"নওগাঁ, সাপাহার এ কোন নেটওয়ার্ক নেই।",CNI
সকল সচল টেলিটক সিমেও এই অফার চালু করা হওক,DP
গ্রাম পর্যায়ে তো নেটওয়ার্ক নাই ব্রো,CNI
দুর্ভাগ্যজনক হলেও এটাই সত্যি নেট পায় না,CNI
Net paina sim khule rekhe dici,CNI
23 tk diya 3 gb offer ta astaca nh kno,DP
তোদের এই নেটওয়ার্ক আগে ভালো কর তারপরে অফার দিস,CNI
আজ একটা Teletalk সিম নাই বলে অফার গুলো নিতে পারলাম না,DP
"আগে নেটওয়ার্ক সার্ভিস ভালো হউক, দেন অফার ভোগ করব।",CNI
Teletalk karent gele net thakena ayce abar boro boro kotha bolte,CNI
টেলিটক অফার দিয়ে লাভ নেই কারণ সব জায়গায় তো নেটওয়ার্ক থাকে না।,CNI
নেটওয়ার্ক H+ ছাড়া অন্য কোন কিছু আসে নাহ ক্যা..?,CNI
"টেলিটক বাংলাদেশের কোথাও ঠিক মতো নেটওয়ার্ক পায় না,আমার ৩ টা সিম আছে বাট একটাও ব্যাবহার করিনা,শুধু নেটওয়ার্ক থাকে না বলে,অথচো আমার বাড়ির হাফ কিলোর ভেতর টেলিটক টাওয়ার।",CNI
বর্ণমালা সিমে এই অফার পাবো??,DP
নরসিংদী সদরে চিনিশপুর ইউনিয়নে ৫নং ওয়াড এ টেলিটক এর ২জি ছাড়া ৩জি ৪জি কিছুই পাওয়া যায় না।।।,NS
